game_id,puzzle_id,puzzle_rating,puzzle_initial_ply,puzzle_url
Qtsx8sym,FbdLL,1255,80,https://lichess.org/Qtsx8sym#81
RT58bMIR,1ctjw,1321,66,https://lichess.org/RT58bMIR#67
SzvcxAlc,sJhbQ,1389,42,https://lichess.org/SzvcxAlc#43
TI12jvQz,f5Opw,1427,60,https://lichess.org/TI12jvQz#61
s4uKjlz2,Z4rFb,1441,22,https://lichess.org/s4uKjlz2#23
B8gI4UHr,TYuXD,1312,47,https://lichess.org/B8gI4UHr#48
YpuW08N1,HuF24,1446,75,https://lichess.org/YpuW08N1#76
UnNoHZFH,nBuXg,1479,175,https://lichess.org/UnNoHZFH#176
rTJkfZsA,siI6G,1473,47,https://lichess.org/rTJkfZsA#48
vHUQxG2e,gFO4L,1123,35,https://lichess.org/vHUQxG2e#36
nx5Wxu11,g8Ic8,1154,53,https://lichess.org/nx5Wxu11#54
9npRHMEG,XtWtw,1246,59,https://lichess.org/9npRHMEG#60
0ynTcD9s,0XwTf,1440,19,https://lichess.org/0ynTcD9s#20
1rNRdljc,Ai9DZ,1306,55,https://lichess.org/1rNRdljc#56
YjjCbV0W,oMsOm,1032,34,https://lichess.org/YjjCbV0W#35
yO9PyzV1,JLcaF,1436,66,https://lichess.org/yO9PyzV1#67
NPlgUO7G,AGBUn,1467,60,https://lichess.org/NPlgUO7G#61
sC7cHyWc,gz8dM,1035,67,https://lichess.org/sC7cHyWc#68
GHxo7QY1,vcq3G,1162,61,https://lichess.org/GHxo7QY1#62
SnDFxAGx,YU2Wg,1226,35,https://lichess.org/SnDFxAGx#36
1QX09FW7,v5xgl,1311,63,https://lichess.org/1QX09FW7#64
vMUWYwNa,cX33L,1359,35,https://lichess.org/vMUWYwNa#36
XTrCP8rc,naoFm,1363,45,https://lichess.org/XTrCP8rc#46
jXPqeTEy,ELTAu,1092,43,https://lichess.org/jXPqeTEy#44
hNA5ZY47,qv5kH,1218,35,https://lichess.org/hNA5ZY47#36
2TGrt8AW,hRnG3,1300,33,https://lichess.org/2TGrt8AW#34
r3H5EezN,KbnPZ,1476,71,https://lichess.org/r3H5EezN#72
mAvLMWrE,wDgll,1068,55,https://lichess.org/mAvLMWrE#56
hqaWf7lB,14iPc,1106,99,https://lichess.org/hqaWf7lB#100
W2s3pucV,trbcd,1192,55,https://lichess.org/W2s3pucV#56
F6Nl03bp,c3rcr,1297,97,https://lichess.org/F6Nl03bp#98
yXXZYM1n,fM4rM,1349,39,https://lichess.org/yXXZYM1n#40
1PVnLYUg,psEbh,1332,93,https://lichess.org/1PVnLYUg#94
